run_id,park_type,service_target,climate_zone,year,native_cover,invasive_cover,canopy_cover,Ce,Cr,Ct,Cep,MPS,satisfaction,action,mgmt_mode,conflict_total,budget_used,temp_anomaly,precip_anomaly,heatwave,drought_event,heavy_rain,storm,pest_outbreak,disturb_canopy_loss,disturb_native_loss,alloc_monitoring,alloc_invasive_removal,alloc_ecological_restoration,alloc_infrastructure,alloc_visitor_experience,alloc_ecosystem_service
0,NRF,conservation,Subtropical,0,0.6522414196393586,0.39938480686116223,0.5384122821612481,0.5637675803163997,0.5505802304630925,0.5800323234860858,0.5336576534866235,0.5580533342820824,0.6538298354232158,ecosystem_service,single,0,8.0,-0.14336635011598678,0.16488932533866038,0.0,0.0,0.9083755665436714,0.0,0.0,0.018167511330873427,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,NRF,conservation,Subtropical,1,0.6544414196393585,0.4808366709888442,0.5253675145173439,0.5329819714407373,0.5168541709608421,0.5771088931929145,0.5268253418662939,0.5345505576530769,0.42761716460880783,ecosystem_service,single,1,8.0,1.1792952685337812,0.1551267588361374,0.6550976052503923,0.0,0.0,0.0,0.0,0.026203904210015692,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,NRF,conservation,Subtropical,2,0.6690637672435756,0.4573366272997885,0.5261683998262151,0.5519874783070026,0.52539954037556,0.5839292152074735,0.5310413623598457,0.5483336350144741,0.5032950186333194,invasive_removal,single,1,20.0,-1.3120181066651657,-0.06591309763603706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,NRF,conservation,Subtropical,3,0.6786861148477927,0.43677204627401534,0.446170226114686,0.5666651456754815,0.500597874249969,0.5642598195159125,0.4885169717488577,0.5441882511316486,0.5444584993307684,invasive_removal,single,1,20.0,0.14587928179100773,-0.25772594523026104,0.0,1.0,0.7091230203411886,0.0,0.0,0.06418246040682378,0.005,0.0,1.0,0.0,0.0,0.0,0.0
0,NRF,conservation,Subtropical,4,0.6933084624520098,0.4416209282331998,0.45469126323324455,0.5744687262929712,0.5023091804116779,0.5733961870733778,0.4972564301258526,0.5517030585494588,0.5361163287743285,invasive_removal,single,1,20.0,-0.2593174676782724,0.01533001687399418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,NRF,conservation,Subtropical,5,0.7079308100562269,0.4196465516273273,0.42735449576428497,0.5932911207502652,0.4990655052361494,0.5717752132545877,0.48596625729875687,0.5602519957589842,0.5630713038625982,invasive_removal,single,1,20.0,0.4731018906610437,-0.26745607103369173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,NRF,conservation,Subtropical,6,0.722553157660444,0.45135453183447494,0.42318462893368397,0.5899333271010548,0.4862997654314074,0.577104309627305,0.48766957789504406,0.5578343193455129,0.4999882167340379,invasive_removal,single,1,20.0,-0.017989289001903885,0.2873764997262409,0.0,0.0,0.9293401885091858,0.0,0.0,0.018586803770183714,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,NRF,conservation,Subtropical,7,0.7371755052646611,0.4459961760044752,0.4360618768706659,0.6019079320931722,0.4933260891467,0.5875475404302972,0.49880792590806305,0.5689937073952156,0.5452762595316811,invasive_removal,single,1,20.0,-0.2886598346774895,0.10655830978454366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,NRF,conservation,Subtropical,8,0.7517978528688782,0.4286814624814534,0.44678886192791295,0.6190174488813377,0.5036770329026565,0.5973456923693691,0.5086980643815503,0.5832523547323152,0.6281969506361927,invasive_removal,single,1,20.0,1.377146305032737,0.1022080478249844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,NRF,conservation,Subtropical,9,0.7664202004730953,0.42714639617056505,0.4525321902041525,0.6294947931690419,0.5065116374219633,0.6056487472741386,0.5158065951488162,0.5920742334007986,0.6715441884120184,invasive_removal,single,1,20.0,-0.18383335977805088,-0.09082389098814014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,NRF,conservation,Subtropical,10,0.7810425480773124,0.42508082773108347,0.46233764268171995,0.6402160090666638,0.5111567673668087,0.6151704394393066,0.5250972638628636,0.6017817788931825,0.543171842542837,invasive_removal,single,1,20.0,-0.3958636765364578,0.22216241205675957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,NRF,conservation,Subtropical,11,0.7956648956815295,0.44218988107460167,0.46135275026876543,0.6425434506513079,0.5047746417313956,0.6214550281373179,0.5284901070855791,0.603847058794772,0.6088393705536334,invasive_removal,single,1,20.0,-1.9801394516838027,0.29264047999074616,0.0,0.0,0.8578647146578391,0.0,0.0,0.017157294293156784,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,NRF,conservation,Subtropical,12,0.8102872432857466,0.44702544682303097,0.43322379740629346,0.6501590001685473,0.49183061257445654,0.619596398700474,0.5172485791213842,0.6046878170528983,0.5186842718683023,invasive_removal,single,1,20.0,2.876870095885226,0.09351589244940336,1.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,NRF,conservation,Subtropical,13,0.8249095908899637,0.4443765024380668,0.4396574418860567,0.6610812405761681,0.4953312009010993,0.6281065484663007,0.5247033939898652,0.6139331980804139,0.6795261179639763,invasive_removal,single,1,20.0,1.6378483021775045,-0.10736059541572876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,NRF,conservation,Subtropical,14,0.8395319384941808,0.4270862699714133,0.4329982398876226,0.6786425275610571,0.4987191014650544,0.6326888442886682,0.5251312372866798,0.6253525585693425,0.6252198905448124,invasive_removal,single,1,20.0,0.28142764254088515,-0.15880809892725747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,NRF,conservation,Subtropical,15,0.8541542860983979,0.4346728722278427,0.4060202600736363,0.6850055453739159,0.48527259874970957,0.63117550676637,0.5147920507347765,0.6256065479229128,0.5004124054780749,invasive_removal,single,1,20.0,0.5884650119548783,0.11435755347282345,1.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,NRF,conservation,Subtropical,16,0.868776633702615,0.4673536200868436,0.41700720452842055,0.6797428115023897,0.47822911478097296,0.6410516465247029,0.5246760037115097,0.6247089637743033,0.5958193128493396,invasive_removal,single,1,20.0,0.49169213323674027,-0.017300064741564522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,NRF,conservation,Subtropical,17,0.8723549753713249,0.4486020831242291,0.40178421197409614,0.6907614859196055,0.4787029556961583,0.638095002509325,0.5176218495564785,0.6296610572836072,0.664735407959914,invasive_removal,single,1,20.0,2.8864726821285025,-0.1574686264521902,0.0,0.0,0.0,0.0,0.3681335311835738,0.011044005935507212,0.011044005935507212,0.0,1.0,0.0,0.0,0.0,0.0
