run_id,park_type,service_target,climate_zone,year,native_cover,invasive_cover,canopy_cover,Ce,Cr,Ct,Cep,MPS,satisfaction,action,mgmt_mode,conflict_total,budget_used,temp_anomaly,precip_anomaly,heatwave,drought_event,heavy_rain,storm,pest_outbreak,disturb_canopy_loss,disturb_native_loss,alloc_monitoring,alloc_invasive_removal,alloc_ecological_restoration,alloc_infrastructure,alloc_visitor_experience,alloc_ecosystem_service
0,PF,environmental,Boreal,0,0.4111230859657503,0.14850864232463878,0.730783304419245,0.4808801409101457,0.7153352969540745,0.5292403800103611,0.7938930800880126,0.6945514319762695,0.7121311257887089,ecological_restoration,single,0,15.0,-0.14336635011598678,0.16488932533866038,0.0,0.0,0.9083755665436714,0.0,0.0,0.018167511330873427,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,PF,environmental,Boreal,1,0.42220475229214205,0.15704550967617226,0.7107107224794074,0.48646309174505276,0.7043183606051027,0.5282053552752861,0.7977716633022496,0.6971208747418876,0.5084418022178058,ecological_restoration,single,0,15.0,1.1792952685337812,0.1551267588361374,0.6550976052503923,0.0,0.0,0.0,0.0,0.026203904210015692,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,PF,environmental,Boreal,2,0.4332864186185338,0.158381157324923,0.7126665630008681,0.4943655820996501,0.7046332201366242,0.5337788572786006,0.8016502465164868,0.701733808312397,0.5758339447181426,ecological_restoration,single,0,15.0,-1.3120181066651657,-0.06591309763603706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,PF,environmental,Boreal,3,0.4393680849449255,0.1604473270557984,0.6452053700649558,0.4982563720978692,0.6769255835564529,0.5162772492447032,0.7854465067726142,0.6893384179059163,0.6133569050128238,ecological_restoration,single,0,15.0,0.14587928179100773,-0.25772594523026104,0.0,1.0,0.7091230203411886,0.0,0.0,0.06418246040682378,0.005,0.0,0.0,1.0,0.0,0.0,0.0
0,PF,environmental,Boreal,4,0.45044975127131726,0.1628163990723962,0.6538024378402332,0.5057943392630588,0.6795352354607547,0.5238431194241627,0.7903829615209753,0.6948240412456335,0.6045460497217726,ecological_restoration,single,0,15.0,-0.2593174676782724,0.01533001687399418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,PF,environmental,Boreal,5,0.461531417597709,0.16417088368940938,0.6499972259921682,0.5136599511370528,0.6775390811055739,0.5276883057166195,0.7899365112479103,0.6965152179293977,0.6314991724632507,ecological_restoration,single,0,15.0,0.4731018906610437,-0.26745607103369173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,PF,environmental,Boreal,6,0.47261308392410073,0.1706314142415357,0.64404311201961,0.5197713926212666,0.6728962498233064,0.5308888213717283,0.7886098956823826,0.6969428516156633,0.5741265952842728,ecological_restoration,single,0,15.0,-0.017989289001903885,0.2873764997262409,0.0,0.0,0.9293401885091858,0.0,0.0,0.018586803770183714,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,PF,environmental,Boreal,7,0.48369475025049247,0.17765341329879278,0.655276711489421,0.5256461105276233,0.674931989941191,0.5392456510595479,0.7945523367064367,0.7025984112028643,0.6138860162049902,ecological_restoration,single,0,15.0,-0.2886598346774895,0.10655830978454366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,PF,environmental,Boreal,8,0.4947764165768842,0.18048415344082203,0.6644895675787101,0.5329345117668343,0.6776263733271963,0.5469962577332109,0.7995616449881894,0.7080830651540024,0.6889938876239622,ecological_restoration,single,0,15.0,1.377146305032737,0.1022080478249844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,PF,environmental,Boreal,9,0.5058580829032759,0.1815357790154511,0.6688380802496668,0.540829908174198,0.6789977094444588,0.5532875613813742,0.8024917577201636,0.7122666806891622,0.7298376939250445,ecological_restoration,single,0,15.0,-0.18383335977805088,-0.09082389098814014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
